line_item_id,order_id,order_date,customer_id,customer_name,segment,region,product_id,product_name,category,subcategory,salesperson,order_status,quantity,unit_price,discount,revenue,profit
1,1,2023-01-07,201,Myra Verma,At Risk,Central,28,Treadmill Home,Sports & Fitness,Sports & Fitness,Priya Nair,Completed,2,44169.57,0.044,84459.49,22459.49
2,1,2023-01-07,201,Myra Verma,At Risk,Central,8,Wireless Mouse,Electronics,Electronics,Priya Nair,Completed,2,1424.2,0.095,2577.58,1077.58
3,2,2023-01-07,368,Vivaan Bose,Potential,North,23,Winter Jacket,Apparel,Apparel,Ravi Kumar,Completed,1,4004.13,0.065,3744.66,1044.66
4,3,2023-01-12,877,Saanvi Patel,Loyal,West,24,Formal Blazer,Apparel,Apparel,Kavita Menon,Returned,1,6006.68,0.081,5519.23,2619.23
5,3,2023-01-12,877,Saanvi Patel,Loyal,West,21,Denim Jeans,Apparel,Apparel,Kavita Menon,Returned,1,2232.36,0.049,2122.48,1122.48
6,3,2023-01-12,877,Saanvi Patel,Loyal,West,1,Laptop Pro 14,Electronics,Electronics,Kavita Menon,Returned,1,77971.55,0.158,65625.27,7625.27
7,3,2023-01-12,877,Saanvi Patel,Loyal,West,34,Notebook Pack (5),Office Supplies,Office Supplies,Kavita Menon,Returned,1,449.94,0.055,425.13,275.13
8,4,2023-01-14,701,Karan Agarwal,At Risk,Central,36,Desk Organizer,Office Supplies,Office Supplies,Anita Desai,Returned,1,501.85,0.086,458.82,158.82
9,5,2023-01-15,815,Kiara Das,High Value,West,8,Wireless Mouse,Electronics,Electronics,Priya Nair,Completed,3,1389.16,0.089,3796.58,1546.58
10,6,2023-01-16,530,Karan Kulkarni,High Value,North,28,Treadmill Home,Sports & Fitness,Sports & Fitness,Ravi Kumar,Completed,1,38971.95,0.135,33723.79,2723.79
11,7,2023-01-19,769,Vikram Mehta,Loyal,North,30,Cycling Helmet,Sports & Fitness,Sports & Fitness,Ravi Kumar,Completed,1,1521.61,0.006,1513.03,663.03
12,7,2023-01-19,769,Vikram Mehta,Loyal,North,3,Wireless Headphones,Electronics,Electronics,Ravi Kumar,Completed,1,4517.14,0.044,4319.55,1719.55
13,7,2023-01-19,769,Vikram Mehta,Loyal,North,12,Mixer Grinder,Home & Kitchen,Home & Kitchen,Ravi Kumar,Completed,1,3726.07,0.147,3179.26,1079.26
14,8,2023-01-20,31,Ananya Iyer,Potential,East,13,Non-stick Cookware Set,Home & Kitchen,Home & Kitchen,Sunita Verma,Completed,1,4498.83,0.135,3891.53,1291.53
15,8,2023-01-20,31,Ananya Iyer,Potential,East,31,Resistance Band Kit,Sports & Fitness,Sports & Fitness,Sunita Verma,Completed,1,773.76,0.069,720.21,340.21
16,9,2023-01-21,247,Diya Kapoor,At Risk,Central,4,Smartwatch X2,Electronics,Electronics,Deepak Sharma,Completed,1,9251.34,0.116,8177.3,1977.3
17,10,2023-01-22,727,Sanjay Gupta,Loyal,West,17,Water Purifier,Home & Kitchen,Home & Kitchen,Ravi Kumar,Returned,1,11552.04,0.152,9801.16,1101.16
18,11,2023-01-24,158,Aditya Joshi,Loyal,South,25,Cotton T-Shirt Pack,Apparel,Apparel,Deepak Sharma,Completed,3,1054.15,0.149,2690.45,1430.45
19,11,2023-01-24,158,Aditya Joshi,Loyal,South,5,4K Monitor 27in,Electronics,Electronics,Deepak Sharma,Completed,4,21311.33,0.01,84409.35,22409.35
20,12,2023-01-27,1117,Rahul Reddy,Loyal,North,20,Women's Kurti,Apparel,Apparel,Ravi Kumar,Completed,2,1602.28,0.042,3071.45,1671.45
21,12,2023-01-27,1117,Rahul Reddy,Loyal,North,3,Wireless Headphones,Electronics,Electronics,Ravi Kumar,Completed,1,4410.64,0.02,4322.06,1722.06
22,13,2023-01-29,778,Aadhya Kapoor,Inactive,North,28,Treadmill Home,Sports & Fitness,Sports & Fitness,Suresh Iyer,Returned,1,44295.55,0.137,38212.42,7212.42
23,13,2023-01-29,778,Aadhya Kapoor,Inactive,North,2,Laptop Air 13,Electronics,Electronics,Suresh Iyer,Returned,1,62769.1,0.045,59945.49,12945.49
24,13,2023-01-29,778,Aadhya Kapoor,Inactive,North,29,Cricket Bat Pro,Sports & Fitness,Sports & Fitness,Suresh Iyer,Returned,2,3272.88,0.028,6360.04,2760.04
25,14,2023-01-30,530,Karan Kulkarni,High Value,North,34,Notebook Pack (5),Office Supplies,Office Supplies,Manoj Rao,Completed,2,443.13,0.002,884.82,584.82
26,14,2023-01-30,530,Karan Kulkarni,High Value,North,22,Running Shoes,Apparel,Apparel,Manoj Rao,Completed,2,3932.38,0.055,7430.16,3630.16
27,15,2023-01-30,878,Ishaan Iyer,Loyal,North,4,Smartwatch X2,Electronics,Electronics,Priya Nair,Completed,1,9422.91,0.005,9378.24,3178.24
28,15,2023-01-30,878,Ishaan Iyer,Loyal,North,28,Treadmill Home,Sports & Fitness,Sports & Fitness,Priya Nair,Completed,2,39123.64,0.0,78247.29,16247.29
29,16,2023-01-31,163,Ananya Kulkarni,Loyal,South,30,Cycling Helmet,Sports & Fitness,Sports & Fitness,Anita Desai,Completed,2,1544.95,0.043,2958.35,1258.35
30,16,2023-01-31,163,Ananya Kulkarni,Loyal,South,14,Electric Kettle,Home & Kitchen,Home & Kitchen,Anita Desai,Completed,1,1694.67,0.136,1464.19,614.19
31,17,2023-02-04,877,Saanvi Patel,Loyal,West,8,Wireless Mouse,Electronics,Electronics,Kavita Menon,Returned,3,1422.38,0.04,4094.37,1844.37
32,17,2023-02-04,877,Saanvi Patel,Loyal,West,35,Printer Ink Cartridge,Office Supplies,Office Supplies,Kavita Menon,Returned,1,905.28,0.062,848.7,198.7
33,17,2023-02-04,877,Saanvi Patel,Loyal,West,14,Electric Kettle,Home & Kitchen,Home & Kitchen,Kavita Menon,Returned,1,1314.18,0.062,1232.42,382.42
34,18,2023-02-04,897,Aadhya Nair,Inactive,West,28,Treadmill Home,Sports & Fitness,Sports & Fitness,Suresh Iyer,Completed,2,43812.61,0.113,77727.42,15727.42
35,18,2023-02-04,897,Aadhya Nair,Inactive,West,8,Wireless Mouse,Electronics,Electronics,Suresh Iyer,Completed,2,1420.42,0.0,2840.85,1340.85
36,18,2023-02-04,897,Aadhya Nair,Inactive,West,12,Mixer Grinder,Home & Kitchen,Home & Kitchen,Suresh Iyer,Completed,2,3065.25,0.0,6130.49,1930.49
37,19,2023-02-07,368,Vivaan Bose,Potential,North,27,Adjustable Dumbbell Set,Sports & Fitness,Sports & Fitness,Manoj Rao,Completed,3,6255.82,0.055,17738.55,4838.55
38,20,2023-02-09,322,Krishna Verma,Loyal,West,24,Formal Blazer,Apparel,Apparel,Ravi Kumar,Completed,3,5921.61,0.0,17764.84,9064.84
39,21,2023-02-10,602,Priya Mehta,Loyal,North,1,Laptop Pro 14,Electronics,Electronics,Suresh Iyer,Completed,1,75664.47,0.039,72711.98,14711.98
40,21,2023-02-10,602,Priya Mehta,Loyal,North,27,Adjustable Dumbbell Set,Sports & Fitness,Sports & Fitness,Suresh Iyer,Completed,1,6035.65,0.142,5176.0,876.0
41,22,2023-02-11,1072,Aarav Rao,Potential,North,27,Adjustable Dumbbell Set,Sports & Fitness,Sports & Fitness,Ravi Kumar,Completed,2,6890.59,0.046,13153.56,4553.56
42,22,2023-02-11,1072,Aarav Rao,Potential,North,22,Running Shoes,Apparel,Apparel,Ravi Kumar,Completed,1,2970.1,0.067,2770.09,870.09
43,23,2023-02-12,209,Vihaan Sharma,Loyal,East,36,Desk Organizer,Office Supplies,Office Supplies,Priya Nair,Completed,3,483.67,0.098,1308.84,408.84
44,24,2023-02-12,257,Vikram Reddy,Loyal,Central,6,Bluetooth Speaker,Electronics,Electronics,Priya Nair,Cancelled,1,3182.07,0.1,2864.63,964.63
45,25,2023-02-12,476,Priya Kapoor,Loyal,North,15,Vacuum Cleaner,Home & Kitchen,Home & Kitchen,Anita Desai,Completed,2,9056.76,0.007,17978.72,4178.72
46,26,2023-02-13,491,Ishaan Chatterjee,Loyal,South,3,Wireless Headphones,Electronics,Electronics,Kavita Menon,Completed,1,4580.1,0.041,4391.81,1791.81
47,26,2023-02-13,491,Ishaan Chatterjee,Loyal,South,10,Tablet 10in,Electronics,Electronics,Kavita Menon,Completed,1,26769.81,0.0,26769.81,7269.81
48,27,2023-02-15,517,Pari Bose,Loyal,South,5,4K Monitor 27in,Electronics,Electronics,Deepak Sharma,Completed,1,20783.43,0.03,20152.56,4652.56
49,27,2023-02-15,517,Pari Bose,Loyal,South,7,Mechanical Keyboard,Electronics,Electronics,Deepak Sharma,Completed,1,5305.13,0.0,5305.13,2005.13
50,28,2023-02-15,999,Reyansh Gupta,Potential,North,18,Ceiling Fan Premium,Home & Kitchen,Home & Kitchen,Suresh Iyer,Completed,1,3360.1,0.112,2982.79,982.79
51,28,2023-02-15,999,Reyansh Gupta,Potential,North,23,Winter Jacket,Apparel,Apparel,Suresh Iyer,Completed,1,5444.0,0.0,5444.0,2744.0
52,29,2023-02-16,875,Rohan Gupta,Loyal,South,18,Ceiling Fan Premium,Home & Kitchen,Home & Kitchen,Manoj Rao,Completed,1,3491.1,0.033,3377.25,1377.25
53,29,2023-02-16,875,Rohan Gupta,Loyal,South,5,4K Monitor 27in,Electronics,Electronics,Manoj Rao,Completed,1,20659.66,0.018,20278.18,4778.18
54,29,2023-02-16,875,Rohan Gupta,Loyal,South,25,Cotton T-Shirt Pack,Apparel,Apparel,Manoj Rao,Completed,1,1004.37,0.078,926.04,506.04
55,29,2023-02-16,875,Rohan Gupta,Loyal,South,20,Women's Kurti,Apparel,Apparel,Manoj Rao,Completed,4,1589.79,0.158,5355.86,2555.86
56,30,2023-02-17,31,Ananya Iyer,Potential,East,22,Running Shoes,Apparel,Apparel,Priya Nair,Completed,1,3891.78,0.058,3666.32,1766.32
57,30,2023-02-17,31,Ananya Iyer,Potential,East,9,Power Bank 20000mAh,Electronics,Electronics,Priya Nair,Completed,1,1760.68,0.024,1718.46,768.46
58,30,2023-02-17,31,Ananya Iyer,Potential,East,15,Vacuum Cleaner,Home & Kitchen,Home & Kitchen,Priya Nair,Completed,1,10557.65,0.146,9014.6,2114.6
59,31,2023-02-17,158,Aditya Joshi,Loyal,South,10,Tablet 10in,Electronics,Electronics,Deepak Sharma,Completed,2,25749.3,0.18,42235.61,3235.61
60,31,2023-02-17,158,Aditya Joshi,Loyal,South,33,Standing Desk,Office Supplies,Office Supplies,Deepak Sharma,Completed,2,19492.29,0.131,33867.69,11467.69
61,32,2023-02-19,740,Meera Verma,Potential,East,10,Tablet 10in,Electronics,Electronics,Manoj Rao,Completed,1,26673.47,0.004,26556.55,7056.55
62,33,2023-02-19,1195,Navya Sharma,Loyal,North,10,Tablet 10in,Electronics,Electronics,Ravi Kumar,Completed,1,26233.2,0.114,23239.44,3739.44
63,33,2023-02-19,1195,Navya Sharma,Loyal,North,4,Smartwatch X2,Electronics,Electronics,Ravi Kumar,Completed,1,9280.83,0.064,8688.67,2488.67
64,34,2023-02-21,530,Karan Kulkarni,High Value,North,26,Yoga Mat Premium,Sports & Fitness,Sports & Fitness,Priya Nair,Completed,1,1038.91,0.0,1038.91,488.91
65,35,2023-02-21,649,Pooja Rao,At Risk,North,36,Desk Organizer,Office Supplies,Office Supplies,Manoj Rao,Completed,1,812.14,0.027,790.28,490.28
66,36,2023-02-21,769,Vikram Mehta,Loyal,North,7,Mechanical Keyboard,Electronics,Electronics,Suresh Iyer,Completed,1,5045.76,0.0,5045.76,1745.76
67,36,2023-02-21,769,Vikram Mehta,Loyal,North,15,Vacuum Cleaner,Home & Kitchen,Home & Kitchen,Suresh Iyer,Completed,3,10716.83,0.125,28146.31,7446.31
68,36,2023-02-21,769,Vikram Mehta,Loyal,North,18,Ceiling Fan Premium,Home & Kitchen,Home & Kitchen,Suresh Iyer,Completed,1,3343.23,0.085,3057.95,1057.95
69,37,2023-02-23,94,Priya Bose,Loyal,West,23,Winter Jacket,Apparel,Apparel,Kavita Menon,Completed,1,5420.02,0.0,5420.02,2720.02
70,37,2023-02-23,94,Priya Bose,Loyal,West,4,Smartwatch X2,Electronics,Electronics,Kavita Menon,Completed,1,9590.79,0.067,8947.68,2747.68
71,38,2023-02-24,4,Reyansh Kulkarni,Potential,South,8,Wireless Mouse,Electronics,Electronics,Deepak Sharma,Returned,1,1374.53,0.158,1157.03,407.03
72,39,2023-02-25,112,Anika Agarwal,Potential,North,12,Mixer Grinder,Home & Kitchen,Home & Kitchen,Deepak Sharma,Completed,1,3123.62,0.113,2770.48,670.48
73,39,2023-02-25,112,Anika Agarwal,Potential,North,8,Wireless Mouse,Electronics,Electronics,Deepak Sharma,Completed,1,1417.1,0.047,1350.02,600.02
74,40,2023-02-25,657,Anika Verma,Loyal,North,22,Running Shoes,Apparel,Apparel,Anita Desai,Completed,2,2896.04,0.108,5166.19,1366.19
75,40,2023-02-25,657,Anika Verma,Loyal,North,6,Bluetooth Speaker,Electronics,Electronics,Anita Desai,Completed,1,3221.29,0.119,2837.76,937.76
76,40,2023-02-25,657,Anika Verma,Loyal,North,18,Ceiling Fan Premium,Home & Kitchen,Home & Kitchen,Anita Desai,Completed,1,2781.35,0.043,2660.9,660.9
77,40,2023-02-25,657,Anika Verma,Loyal,North,14,Electric Kettle,Home & Kitchen,Home & Kitchen,Anita Desai,Completed,2,1313.63,0.121,2308.38,608.38
78,41,2023-02-26,815,Kiara Das,High Value,West,23,Winter Jacket,Apparel,Apparel,Deepak Sharma,Completed,1,4181.08,0.058,3939.03,1239.03
79,42,2023-02-26,1379,Priya Singh,Potential,East,13,Non-stick Cookware Set,Home & Kitchen,Home & Kitchen,Sunita Verma,Completed,1,3838.25,0.0,3838.25,1238.25
80,42,2023-02-26,1379,Priya Singh,Potential,East,11,Air Fryer 4L,Home & Kitchen,Home & Kitchen,Sunita Verma,Completed,1,6161.18,0.079,5674.53,1474.53
81,42,2023-02-26,1379,Priya Singh,Potential,East,31,Resistance Band Kit,Sports & Fitness,Sports & Fitness,Sunita Verma,Completed,2,819.13,0.088,1493.29,733.29
82,43,2023-02-27,709,Myra Das,High Value,West,10,Tablet 10in,Electronics,Electronics,Anita Desai,Completed,1,25512.08,0.011,25233.96,5733.96
83,43,2023-02-27,709,Myra Das,High Value,West,5,4K Monitor 27in,Electronics,Electronics,Anita Desai,Completed,1,21414.45,0.069,19930.34,4430.34
84,43,2023-02-27,709,Myra Das,High Value,West,17,Water Purifier,Home & Kitchen,Home & Kitchen,Anita Desai,Completed,1,14149.21,0.07,13162.73,4462.73
85,43,2023-02-27,709,Myra Das,High Value,West,20,Women's Kurti,Apparel,Apparel,Anita Desai,Completed,1,1649.4,0.0,1649.4,949.4
86,44,2023-03-03,163,Ananya Kulkarni,Loyal,South,12,Mixer Grinder,Home & Kitchen,Home & Kitchen,Ravi Kumar,Completed,1,3714.6,0.067,3464.25,1364.25
87,44,2023-03-03,163,Ananya Kulkarni,Loyal,South,36,Desk Organizer,Office Supplies,Office Supplies,Ravi Kumar,Completed,1,818.25,0.042,783.53,483.53
88,45,2023-03-03,452,Aditya Bose,High Value,Central,18,Ceiling Fan Premium,Home & Kitchen,Home & Kitchen,Deepak Sharma,Returned,1,3317.41,0.102,2978.59,978.59
89,46,2023-03-03,727,Sanjay Gupta,Loyal,West,11,Air Fryer 4L,Home & Kitchen,Home & Kitchen,Deepak Sharma,Completed,3,7379.82,0.082,20329.66,7729.66
90,46,2023-03-03,727,Sanjay Gupta,Loyal,West,17,Water Purifier,Home & Kitchen,Home & Kitchen,Deepak Sharma,Completed,1,14068.15,0.12,12373.49,3673.49
91,46,2023-03-03,727,Sanjay Gupta,Loyal,West,2,Laptop Air 13,Electronics,Electronics,Deepak Sharma,Completed,1,61587.26,0.103,55273.06,8273.06
92,46,2023-03-03,727,Sanjay Gupta,Loyal,West,6,Bluetooth Speaker,Electronics,Electronics,Deepak Sharma,Completed,2,3197.74,0.067,5967.87,2167.87
93,47,2023-03-03,743,Rahul Iyer,High Value,West,35,Printer Ink Cartridge,Office Supplies,Office Supplies,Manoj Rao,Completed,2,1483.27,0.099,2673.78,1373.78
94,47,2023-03-03,743,Rahul Iyer,High Value,West,9,Power Bank 20000mAh,Electronics,Electronics,Manoj Rao,Completed,1,1797.49,0.0,1797.49,847.49
95,47,2023-03-03,743,Rahul Iyer,High Value,West,16,Induction Cooktop,Home & Kitchen,Home & Kitchen,Manoj Rao,Completed,1,2780.52,0.056,2624.94,1024.94
96,48,2023-03-05,970,Rohan Nair,Loyal,Central,3,Wireless Headphones,Electronics,Electronics,Suresh Iyer,Completed,1,4572.92,0.038,4399.42,1799.42
97,48,2023-03-05,970,Rohan Nair,Loyal,Central,20,Women's Kurti,Apparel,Apparel,Suresh Iyer,Completed,1,1167.45,0.09,1062.21,362.21
98,49,2023-03-05,1039,Reyansh Kulkarni,Potential,South,22,Running Shoes,Apparel,Apparel,Deepak Sharma,Returned,2,2949.02,0.111,5244.63,1444.63
